ticker,period,net_revenue,cost_of_goods_sold,gross_profit,operating_expenses,operating_profit,interest_expenses,profit_before_tax,net_profit_after_tax,profit_after_tax_for_shareholders_of_parent_company,a_short_term_assets,cash_and_cash_equivalents,short_term_financial_investments,short_term_trade_accounts_receivable,inventories,fixed_assets,total_assets,short_term_borrowings_and_financial_leases,long_term_borrowings_and_financial_leases,owners_equity,owners_capital,net_cash_flows_from_financing_activities,pe,pb,ps,trailing_eps,book_value_per_share,dividend_yield,ev_ebit,ev_ebitda
HPG,2022-Q2,37422054617017,30882432369940,6539622247077,856328267125,4312596514808,717352725484.0,4379340489328,4022573379866,4032232311020,120220561631693,20325198022112,24440598374838.0,14321534634657,57554102163500,70059409042323,207496628090862,56575628198553.0,13443161725051.0,99915401148975,44729227060000,,3.33,1.3,3.47,6689,17183,0.02,35.22,15.82
HPG,2022-Q3,34103341328754,33102613774299,1000727554455,929405654719,-1351520454161,836700531276.0,-1299955296196,-1785707380039,-1774133616408,96870553001623,11881408346665,27029902625837.0,12007503450736,43880267448945,71724752157800,183805111144198,52871495029424.0,12629305426051.0,98075482927856,58147857000000,,5.72,1.26,3.61,3705,16867,0.02,-382.09,29.56
HPG,2022-Q4,25825731843835,26710981787039,-885249943204,1058955911178,-2091449212982,932651987764.0,-2078547921756,-1998767302135,-1991548498312,80514710854455,8324588920227,26268246676354.0,9892869502308,34491111096123,70832915657865,170335521637131,46748670400471.0,11151651204402.0,96112939615783,58147857000000,,11,1.09,4.05,1636,16529,0.03,-134.7,28.7
HPG,2023-Q1,26588751786987,24912314686658,1676437100329,757484851618,491893455391,989588839615.0,532042789767,383229608071,397497275202,85412137003655,7868451566326,27420903628936.0,13830143965796,34306897157900,69945445195200,175408611174320,50354261925455.0,10304996868419.0,96437975271673,58147857000000,2820618105543,172.22,1.25,4.55,121,16585,0.02,114.24,54.84
HPG,2023-Q2,29496383378315,26301396413465,3194986964850,871427195104,1715017002029,1028566971432.0,1701886953766,1447824839793,1460042613098,84954320215485,13252855086239,22848207160936.0,14349412286228,32001578654651,68933857375679,176294073727869,51748268155863.0,8878939971816.0,97860291061122,58147857000000,,-79.69,1.55,5.16,-328,16830,0,73.07,21.83
HPG,2023-Q3,28484087800597,24889281213593,3594806587004,878847883028,2128204982925,855978191830.0,2174230121892,2000363084332,2004745086782,78482566275784,9696669423876,19957222511116.0,12506103872593,33524022785325,72782298055573,173507011684572,49237590969260.0,8744590378258.0,99865188256444,58147857000000,,81.75,1.53,5.37,322,17174,0,66.43,21.56
HPG,2023-Q4,34383804927755,29912194884366,4471610043389,760892537075,3315647348962,710943681004.0,3384568877748,2968970782885,2972779359274,82716439173043,12267401160884,22161903502481.0,10702136439996,34504487406261,72014494381617,187782586563801,54981883180636.0,10399119292481.0,102836419239379,58147857000000,,23.78,1.58,4.73,1175,17685,0,52.67,20.56
HPG,2024-Q1,30852359591717,26698376631120,4153982960597,957657285921,2887667766458,635618987620.0,3261215356873,2869182602472,2870588692991,94032457790196,12428888036237,22271418573603.0,12105116296231,42714279935957,71016027599296,201940225528507,61438295764670.0,16080142067527.0,105624580573088,58147857000000,12050332227231,18.9,1.67,5.7,1601,18165,0,61.87,42.91
HPG,2024-Q2,39555509827454,34308029337809,5247480489645,1135927546485,3691521124284,564134360513.0,3733225669765,3319574718545,3319263141862,84466831221789,13032037853283,15314673148945.0,10392801855660,40163540620593,70074653313057,206609079731195,53315313650059.0,19674955314582.0,108676564354379,63962642700000,,14.85,1.67,4.58,1906,16991,0,56.1,22.74
HPG,2024-Q3,33956260285527,29225083561286,4731176724241,1041709733420,3385017591478,525114798901.0,3412385133844,3021671984903,3022946632050,80841803394106,8500998079280,16386803148945.0,9140948029240,40197821463879,68475648874477,211386343928118,54180722680952.0,24517626484538.0,111779097236460,63962502000000,,12.99,1.51,4.96,2028,17476,0,60.68,23.14
HPG,2024-Q4,34490982426689,30126073473488,4364908953201,747530142210,3302796466124,562492663846.0,3286673463710,2809591678365,2806801098966,87078573452172,6887646139852,18974716730905.0,7622381535327,46520644574855,67428366953514,224489704917009,55882684449477.0,27080443256096.0,114647455346716,63962502000000,,13.66,1.49,4.94,1951,17924,0,64.13,25.57
HPG,2025-Q1,37621674553578,32197520628446,5424153925132,1085059513672,3806582011002,627024360692.0,3839765349020,3349805416084,3344284694388,88914195573724,7459035818129,16212510112252.0,10856053423195,46603844415849,85838135705767,228861587788307,61784512821075.0,27256965869238.0,117996879089129,63962502000000,6078292549103,13.49,1.45,4.55,1984,18448,0,56.64,40.36
HPG,2025-Q2,35910519111209,29320796625500,6589722485709,1147657780797,4960786332190,439112631420.0,4972383493663,4264524105532,4256754778395,97606077663535,10688024277258,17584027436423.0,12327098374801,48853408114115,65302976358571,242224530919050,63264493644765.0,27326834115535.0,122359504913282,63962502000000,,10.81,1.19,4.04,2100,19130,0,41.75,19.86
HPG,2025-Q3,36407416403924,30320155128758,6087261275166,1154929297315,4571024716176,812194101705.0,4628313172434,4012252316723,3988318474539,95425988115582,9092562739415,18903949054642.0,13727194725111,45623656431728,104711263391250,246171338287652,68482383626253.0,28356095137594.0,127516012099269,76754658550000,,13.05,1.69,5.93,2157,16613,0,56.22,25.98
HPG,2025-Q4,46176484549771,39779834052596,6396650497175,682521477613,4567440888267,1236524775157.0,4600129962763,3888349733267,3860994446656,103682043127964,8300890304205,19484412761405.0,15064703713293,52828227344442,133608057859977,257921581413150,64694957245143.0,27479194057074.0,131220010876575,76754658550000,,11.98,1.54,4.39,2203,17096,0,49.44,20.84
HPG,2026-Q1,52900847302653,44535778694658,8365068607995,1730870903704,10704033503572,1333414699291.0,10762183839545,9055918200023,8994003244142,104365180994071,11455231038505,24267452864302.0,16692782771439,43515585272210,134574365284040,259327500205228,62799568273773.0,27817253418546.0,139781792206472,76754658550000,-767794471020,9.32,1.48,3.9,2887,18212,0,23.68,19.16
