symbol,name,total_shares,rate,date
HPG,Trần Đình Long,1980000000,0.25796,2026-03-10T16:56:34.897
HPG,Vũ Thị Hiền,528000000,0.06879,2026-03-10T16:57:09.09
HPG,Trần Vũ Minh,209683900,0.02732,2026-04-14T09:00:01.323
HPG,Trần Tuấn Dương,177556764,0.0231329,2026-02-03T10:17:21.213
HPG,Nguyễn Mạnh Tuấn,174088076,0.0227,2026-02-03T10:17:21.22
HPG,Nguyễn Ngọc Quang,125485714,0.0163,2026-02-03T10:17:21.247
HPG,Vietnam Enterprise Investments Limited,66860749,0.014948,2025-10-05T12:54:27.52
HPG,Doãn Gia Cường,96209794,0.0125,2026-02-03T10:17:21.257
HPG,Norges Bank,39886441,0.008917,2025-10-05T12:54:27.52
HPG,Công ty Cổ Phần Đầu Tư Và Xây Dựng Sao Phương Bắc,43891680,0.0069,2026-02-03T10:24:23.96
HPG,CTBC Vietnam Equity Fund,25500000,0.005701,2025-10-05T12:54:27.52
HPG,Chu Quân,3600000,0.0049118757,2015-09-14T00:00:00
HPG,Wareham Group Limited,21153896,0.004729,2025-10-05T12:54:27.52
HPG,Hoàng Quang Việt,34701722,0.0045,2026-02-03T10:17:21.26
HPG,Grinling International Limited,16769608,0.003749,2025-10-05T12:54:27.52
HPG,Balestrand Limited,15704048,0.003511,2025-10-05T12:54:27.52
HPG,Nguyễn Việt Thắng,24618199,0.0032,2026-02-03T10:17:21.27
HPG,Hanoi Investments Holdings Limited,14193096,0.003173,2025-10-05T12:54:27.52
HPG,DC Developing Markets Strategies Public Limited Company,10800000,0.002415,2025-10-05T12:54:27.52
HPG,Nguyễn Tuấn Tú,13899600,0.0022,2026-02-03T10:32:13.37
HPG,Nguyễn Đức Duy,13899600,0.0022,2026-02-03T10:32:13.37
HPG,Amersham Industries Limited,8210062,0.001836,2025-10-05T12:54:27.52
HPG,Vũ Đức Sinh,1172500,0.0015997706,2015-09-14T00:00:00
HPG,Vũ Thị Ánh Tuyết,1100000,0.0015008509,2015-09-14T00:00:00
HPG,Phan Thị Thu Lan,13494752,0.00146514,2026-02-03T10:32:13.377
HPG,Trần Bảo Ngọc,9266400,0.0014,2026-02-03T10:32:13.38
HPG,Trần Gia Bảo,9266400,0.0014,2026-02-03T10:32:13.38
HPG,Trần Ngọc Diệp,9266400,0.0014,2026-02-03T10:32:13.38
HPG,Tạ Tuấn Quang,4369642,0.0013,2026-04-23T10:23:22.28
HPG,Đào Thị Thanh Phượng,10015807,0.00108743,2026-02-03T10:32:13.377
HPG,Nguyễn Quang Minh,6600000,0.001,2026-02-03T10:32:13.383
HPG,Nguyễn Hà My,6600000,0.001,2026-02-03T10:32:13.38
HPG,Công ty TNHH Thương Mại Và Đầu Tư Đại Phong,3613896,0.00047,2026-03-10T16:57:41.153
HPG,Tạ Tiến Dũng,315000,0.0004297891,2015-09-14T00:00:00
HPG,Nguyễn Hồng Vân,2403772,0.0004,2026-02-03T10:32:13.387
HPG,Saigon Investments Limited,1405691,0.000314,2025-10-05T12:54:27.52
HPG,Veil Holdings Limited,945000,0.000211,2025-10-05T12:54:27.52
HPG,Hoàng Nhật Minh,1320000,0.0002,2026-02-03T10:32:13.387
HPG,Hoàng Nhật Anh,1320000,0.0002,2026-02-03T10:32:13.387
HPG,Trần Đình Tân,1251964,0.0002,2026-02-03T10:19:34.16
HPG,Trần Ánh Tuyết,1251964,0.0002,2026-02-03T10:20:47.033
HPG,Nguyễn Mạnh Hùng,1067844,0.0002,2026-02-03T10:32:13.39
HPG,Nguyễn Thị Hồng Hải,577306,0.0002,2025-10-05T12:54:27.52
HPG,KB Vietnam Focus Balanced Fund,865000,0.000193,2025-10-05T12:54:27.52
HPG,Samsung Vietnam Securities Master Investment Trust,739860,0.000165,2025-10-05T12:54:27.52
HPG,Phạm Thị Thu,101000,0.0001378054,2015-09-14T00:00:00
HPG,Venner Group Limited,509750,0.000114,2025-10-05T12:54:27.52
HPG,Nguyễn Thị Thảo Nguyên,805042,0.0001052,2026-02-03T10:18:04.38
HPG,Nguyễn Khoa Sơn,862441,0.0001,2026-02-03T10:32:13.39
HPG,Nguyễn Thị Hải Yến,751162,0.0001,2026-02-03T10:32:13.39
HPG,Nguyễn Thị Tuyết,555984,0.0001,2026-02-03T10:20:13.05
HPG,Doãn Thị Bích Ngọc,522715,0.0001,2026-02-03T10:32:13.39
HPG,Tạ Tuấn Dương,425022,0.0001,2025-10-05T12:54:27.52
HPG,Trần Đình Thăng,417988,0.0001,2026-02-03T10:19:54.337
HPG,Trương Ngọc Diệp,417062,0.0001,2026-02-03T10:32:13.393
HPG,Nguyễn Mạnh Hùng,404742,0.0001,2026-02-03T10:32:13.393
HPG,Tạ Tuấn Tường,218400,0.0001,2025-10-05T12:54:27.52
HPG,Đặng Ngọc Khánh,500000,7e-05,2026-02-03T10:17:21.283
HPG,Hoàng Thị Hảo,417308,6.52e-05,2025-10-05T12:54:27.52
HPG,Nguyễn Thị Nguyệt,532953,5.509e-05,2026-02-03T10:32:13.393
HPG,Lý Thị Ngạn,30000,4e-05,2025-10-05T12:54:27.52
HPG,Tạ Thị Thu Hiền,22400,3.05627e-05,2015-09-14T00:00:00
HPG,Lê Tuấn Anh,26047,3e-05,2025-10-05T12:54:27.52
HPG,Nguyễn Hữu Mạnh,293884,2.859e-05,2026-02-03T10:32:13.393
HPG,Nguyễn Thị Mai Lan,83000,2.5e-05,2025-10-05T12:54:27.52
HPG,Kiều Chí Công,10000,1.3644e-05,2015-09-14T00:00:00
HPG,Chu Quang Việt,98899,1.289e-05,2026-02-03T10:32:13.397
HPG,Trần Thị Phương Liên,30800,4.8e-06,2025-10-05T12:54:27.52
HPG,Nguyễn Văn Đạm,29796,4.7e-06,2025-10-05T12:54:27.52
HPG,Trần Thị Thu Hiền,7621,1e-06,2026-02-03T10:18:04.437
HPG,Ngô  Lan Anh,2191,3e-07,2026-02-03T10:18:04.457
HPG,Thái  Thị Lộc,2160,3e-07,2026-02-03T10:18:04.473
HPG,Nguyễn Thị Thanh Vân,151,2.06e-07,2015-09-14T00:00:00
HPG,Quỹ Đầu tư Cân bằng Manulife,9,3.3e-09,2020-07-14T15:05:24.437
